name,Q,n_points,v_chi2,v_chi2_dof,v_bic,v_A,v_rc,v_ups,n_chi2,n_chi2_dof,n_bic,n_A,n_rc,n_ups,delta_bic
UGC00128,1,22,131.4742,6.9197,140.75,107.2000,3.0000,2.0000,45.6142,2.4007,54.89,235.4273,22.8249,1.5878,5904.10
UGC00191,1,9,15.2488,2.5415,21.84,90.5580,5.0000,2.0000,46.4459,7.7410,53.04,133.9252,10.6480,1.4580,5904.10
UGC00731,1,12,2.4418,0.2713,9.90,59.2000,1.1790,6.2769,4.3459,0.4829,11.80,118.1928,7.7812,6.2769,5904.10
UGC00891,2,5,9.1186,4.5593,13.95,76.5000,3.0000,1.1000,114.2666,57.1333,119.09,101.8215,6.4308,1.9602,5904.10
UGC01230,1,11,4.7610,0.5951,11.95,90.4000,3.0000,2.0000,7.8750,0.9844,15.07,164.0760,17.1487,2.1780,5904.10
UGC01281,1,25,9.2144,0.4188,18.87,68.2800,2.0000,1.0000,52.4738,2.3852,62.13,109.9656,12.9687,1.9212,5904.10
UGC02023,2,5,0.6085,0.3042,5.44,77.6160,2.0000,0.0000,3.2803,1.6402,8.11,85.3776,11.7128,0.8000,5904.10
UGC02259,2,8,9.6018,1.9204,15.84,72.0000,0.5000,1.4000,22.3885,4.4777,28.63,118.8000,4.2872,2.4200,5904.10
UGC02455,3,8,9.7721,1.9544,16.01,73.2000,2.2000,0.0000,18.3009,3.6602,24.54,88.5720,4.3923,0.0000,5904.10
UGC02487,1,17,19.8746,1.4196,28.37,306.4000,6.0500,0.8000,35.5495,2.5392,44.05,556.1160,30.3800,0.8910,5904.10
UGC02885,1,19,39.1935,2.4496,48.03,244.0000,8.8000,0.7200,42.8993,2.6812,51.73,487.1460,40.4358,0.6351,5904.10
UGC02916,2,43,215.3366,5.3834,226.62,174.4000,3.3000,0.4000,177.4440,4.4361,188.73,348.1896,12.8841,0.3500,5904.10
UGC02953,2,115,304.0567,2.7148,318.29,255.2000,2.1780,0.4500,268.1466,2.3942,282.38,509.5068,15.5897,0.4724,5904.10
UGC03205,1,48,79.6415,1.7698,91.26,189.6000,0.4950,0.3500,179.5572,3.9902,191.17,344.1240,14.1725,0.6480,5904.10
UGC03546,1,30,34.0931,1.2627,44.30,209.6000,5.5000,0.4000,14.8601,0.5504,25.06,345.8400,9.6800,0.3500,5904.10
UGC03580,2,47,381.4366,8.6690,392.99,104.8000,0.5500,0.0000,104.7507,2.3807,116.30,253.1722,14.1725,0.1500,5904.10
UGC04278,1,25,22.7052,1.0321,32.36,111.3600,3.0000,0.4500,86.2570,3.9208,95.91,163.0422,14.1725,0.9185,5904.10
UGC04305,3,22,34.5363,1.8177,43.81,0.0000,0.3000,0.8000,34.5363,1.8177,43.81,0.0000,0.3000,0.8000,5904.10
